pga_id,pga_program_name,pga_program_license,pga_quantity,pga_used,pga_enable
1,Windows 10 Pro,11111,50,0,1
2,Windows 10 Pro,22222,10,0,1
3,Windows 10 Pro,33333,120,0,1
5,MS Office,,,0,1
6,MS Visio,,,0,1
7,MS Project,,,0,1
8,Adobe Acrobat PRO,,,0,1
9,Foxit Phantom PDF,,,0,1
10,AutoCADLT,,,0,1
11,AutoCAD3D,,,0,1
12,AutoDesk Plant Design,,,0,1
13,Autodesk Revit,,,0,1
14,Navisworks,,,0,1
15,Sketchup,,,0,1
16,Pvsyst,,,0,1
17,Primavira6,,,0,1
18,Lumion,,,0,1
19,Autodesk Robot Structure,,,0,1
20,Autodesk Civil,,,0,1
21,Photoshop,,,0,1
22,MathType,,,0,1
23,"PTC Mathcad Prime	",,,0,1
24,Mathcad,,,0,1
25,Flow of Fluids,,,0,1
26,Midas Gen,,,0,1
27,Abagus,,,0,1
28,Plaxis,,,0,1
29,Sap 2000,,,0,1
30,Staad Pro,,,0,1
31,DIALux,,,0,1
32,ETAP,,,0,1
33,"Illustrator	",,,0,1
34,Corel Videostudio,,,0,1
35,Sony Vegas,,,0,1
